abstraction 抽象:抽象物:抽象性
abstract 抽象的
access 存取:访问 
account 账户 
action 动作 
activate 激活 
active 活动的 
adapter 适配器 
address 地址 
advanced 高级的
aggregation 聚合:聚集 
algorithm 算法
alias 别名 
align 排列:对齐
allocate 分配:配置
allocator 分配器:配置器 
annotation 注解:评注
application 应用:应用程序 
appearance 外观 
append 附加
architecture 架构:体系结构 
argument 引数:参数:论据
array 数组 
assembly 装配件:配件 
assertion 断言 
assign 赋值 
assignment 赋值:分配 
associated 相关的:相关联的
asynchronous 异步的
atomic 原子的 
attribute 特性:属性 
authorization 授权
audio 音频 
Automation 自动化
authentication 验证:认证:证明:鉴定
background 背景:后台
backup 备份 
bandwidth 带宽 
batch 批处理 
binary 二进制 
binding 绑定 
bit 位 
bitmap 位图 
block 块:区块:语句块
bookkeeping 簿记
boolean 布林值:真假值:布尔值
border 边框 
boxing 装箱:装箱转换 
brace 大括号
bracket 中括号
breakpoint 断点
build 编译  
bus 总线 
business 业务
button 按钮
bug 臭虫
through 通过
byte 位元组
cache 高速缓存 
calendar 日历 
call 调用 
callback 回调
casting 转型:造型转换 
catalog 目录
chain 链 
character 字符 
checkpoint 检查点
class 类 
classification 分类
clause 子句 
client 客户:客户端 
clipboard 剪贴板
clone 克隆
collection 集合
comment 注释 
commit 提交
communication 通讯 
compatible 兼容 
compiler 编译器
component 组件 
composition 复合:组合 
concept 概念
concrete 具体的
Clique 集团 
Compression 压缩 
Cryptography 密码
concurrency 并发:并发机制
constraint 约束
configuration 配置:组态
connection 连接 
console 控制台 
constant 常量
construct 构件:成分:概念:构造
constructor 构造函数:构造器
container 容器
containment 包容 
context 环境:上下文
control 控件
copy 拷贝 
cover 覆盖:涵盖 
consumer 消费者:使用者
create  创建:生成
cube 多维数据集 
cursor 光标:游标
custom 定制:自定义 
data 数据 
dataset 数据集 
database 数据库 
datagram 数据报文 
distributed  分布式
deallocate 归还 
debug 调试 
debugger 调试器
decay 退化
declaration 声明  
deduction 推导 
default 缺省:默认值 
defer 推迟 
definition 定义 
delegate 委托 
delegation 委托
deploy 部署 
dereference 解引用
destroy 销毁 
destructor 析构函数:析构器
device 设备 
dialog 对话框 
Dictionary 字典 
digest 摘要 
digital 数字的 
directive 指令:指示符
directory 目录
disassembler 反汇编器
dispatch 调度:分派:派发
document 文档 
driver 驱动 
dump 转储:丢下:倾倒
e-business 电子商务 
efficiency 效率
efficient 高效 
engine 引擎 
entity 实体 
encapsulation 封装 
enum 枚举 
enumeration 枚举
enumerators 枚举成员:枚举器 
equal 相等
equality 相等性
evaluate 评估 
event 事件 
evidence 证据
exception 异常 
exit 退出 
explicit 显式 
export 导出 
expression 表达式 
facility 设施:设备 
feature 特性:特征 
fetch 提取:抓取
field 字段:域
file 文件
filter 筛选:过滤
finalization 终结:最终 
firewall 防火墙 
finalizer 终结器 
firmware 固件
flag 标记 
flush 刷新 
font 字体 
form 窗体 
forward-only 只向前的 
fragmentation 碎片  
framework 框架 
function 函数 
functionality 功能 
functor 仿函数 
game 游戏
generate 生成
generic 泛化的:一般化的:通用的 
genericity 泛型 
getter 取值函数
global 全局的 
grant 授权
granularity 粒度
Graph 图形
group 组:群 
handle 句柄 
handler 处理器 
hard-coded 硬编码的 
hard-copy 硬拷贝:截屏图
hardware 硬件 
heap 堆 
hierarchy 层次结构:继承体系
hook 钩子 
Host 宿主
hyperlink 超链接
icon 图标 
identifier 标识符 
image 图象
index 索引
immediate 即刻:即时:直接
implement 实现
implementation 实现:实现品
implicit 隐式 
import 导入
information 信息 
infrastructure 基础设施
inheritance 继承:继承机制
inline 内联
initialization 初始化
initialize 初始化
instance 实例 
instantiated 具现化:实体化
instantiation 具现体:具现化实体
integrate 集成:整合 
integration 整合:集成
integrity 完整性:一致性
interacts 交互
interface 接口
interoperability 互操作性:互操作能力
interpreter 解释器 
intersect 交集:相交
introspection 自省
invariants 不变性
invoke 调用
Isomorphism 同构
iterate 迭代
iterative 反复的:迭代的 
iterator 迭代器 
iteration 迭代 
item 项:条款:项目
key 键 
laser 激光 
level 阶:层例 
library 库 
lifetime 生命期:寿命
link 连接:链接 
linkage 连接:链接 
linker 连接器:链接器 
literal 字面量:字面的
list 列表:表:链表
list box 列表框 
livelock 活锁
load 装载:加载 
loader 装载器:载入器 
local 局部的 
lock 锁 
log 日志
login 登录
loop 循环
lvalue 左值
macro 宏 
match 匹配 
maintain 维护 
manifest 清单
manipulator 操纵器
marshal 列集
member 成员
memory 内存 
menu 菜单 
message 消息
metadata 元数据
metaprogramming 元编程
method 方法 
micro 微
middleware 中间件
minus 相减:减法
modeling 建模 
modifier 修饰字:修饰符
modem 调制解调器
module 模块
mouse 鼠标 
mutable 可变的
mutex 互斥元:互斥体 
multidimensional 多维
multiuser 多用户
multiply 乘法:相乘
multi-tasking 多任务
multi-thread 多线程
namespace 名字空间:命名空间
native 原生的:本地的
network 网络 
operand 操作数 
operation 操作 
operator 操作符:运算符 
option 选项 
optimizer 优化器 
overflow 上限溢位
overhead 额外开销 
overload 重载 
override 覆写:重写:重新定义 
package 包 
packaging 打包 
palette 调色板 
parallel 并行 
parameter 参数:形式参数:形参 
parameterize 参数化 
parentheses 圆括弧:圆括号 
parse 解析 
parser 解析器 
part 零件:部件
pattern 模式 
performance 性能
persistence 持久性
Permanent 永久
pixel 像素 
pipeline 管道
placement 放置 
placeholder 占位符 
platform 平台 
pointer 指针 
poll 轮询 
pooling 池化
polymorphism 多态
port 端口
postfix 后缀
precedence 优先序
prefix 前缀
preprocessor 预处理器
print 打印 
printer 打印机 
procedure 过程 
procedural 过程式的:过程化的 
process 进程 
profile 评测 
profiler 效能评测器:性能评测器 
program 程序 
programmer 程序员 
programming 编程:程序设计 
project 项目:工程 
property 属性 
protocol 协议 
qualified 合格:资格:胜任
quality 质量 
queue 队列 
radian 弧度 
raise 引发 
range 范围:区间 
rank 等级 
raw 未经处理的 
readOnly 只读
record 记录 
recordset 记录集 
recursive 递归 
re-direction 重定向 
refactoring 重构 
refer 引用:参考 
reference 引用:参考 
register 寄存器 
reflection 反射 
remote 远程
represent 表述，表现
resolve 解析:决议
resolution 解析过程
return 返回 
revoke 撤销 
robust 健壮
robustness 健壮性 
routine 例程 
row 行
rowset 行集 
runtime 执行期:运行期:执行时:运行时
rvalue 右值
save 保存
savepoint 保存点
scalable 可伸缩的:可扩展的 
schedule 调度 
scheduler 调度程序
schema 模式:纲目结构 
scope 作用域:生存空间 
screen 屏幕 
Set 集合 
Sorting 排序 
Searching 查找 
Satisfiability 可满足性 
search 查找 
semantics 语义 
semaphore 信号量
server 服务器:服务端
serial 串行
serialization 序列化
serialize 序列化 
session 会话
setter 设值函数
sibling 同级 
signature 签名 
single-threaded 单线程 
slider 滑块 
slot 槽 
snapshot 截屏图:快照
specialization 特化 
specification 规范:规格 
splitter 切分窗口 
software 软件 
stack 栈:堆栈 
